Problem,Solved,Topics
OKTV2024_II_I_P4,Y,number theory
OKTV2023_I_II_P3,Y,algebra
OKTV2024_I_II_P3,Y,functions
OKTV2024_III_I_P3,Y,functions
OKTV2024_II_II_P4,Y,functions
OKTV2014_II_I_P3,Y,functions
OKTV2020_I_II_P2,Y,functions
OKTV2015_I_II_P3,Y,"inequalities, trigonometry"
OKTV2020_III_I_P5,Y,functions
OKTV2016_III_I_P3,Y,"algebra, trigonometry"
OKTV2019_III_I_P3,Y,algebra
OKTV2009_I_II_P4,N,inequalities
OKTV2011_I_I_P1,Y,algebra
OKTV2012_I_II_P1,Y,algebra
OKTV2017_I_I_P2,Y,algebra
OKTV2018_I_III_P1,N,number theory
OKTV2018_I_II_P4,Y,algebra
OKTV2019_I_II_P3,Y,algebra
OKTV2019_I_I_P5,Y,algebra
OKTV2020_I_II_P1,Y,algebra
OKTV2016_II_II_P2,N,inequalities
OKTV2009_II_III_P1,N,inequalities
OKTV2012_II_I_P1,Y,algebra
OKTV2017_II_I_P3,Y,algebra
OKTV2015_II_I_P3,Y,number theory
OKTV2014_I_I_P4,Y,algebra
OKTV2014_III_I_P1,Y,number theory
OKTV2024_I_I_P3,Y,algebra
OKTV2009_II_I_P3,Y,algebra
OKTV2011_II_I_P1,Y,algebra
OKTV2018_II_I_P2,Y,inequalities
OKTV2019_III_I_P1,N,number theory
OKTV2004_I_I_P3,Y,number theory
OKTV2004_I_I_P4,Y,number theory
OKTV2010_III_I_P3,Y,number theory
OKTV2010_II_I_P3,Y,inequalities
OKTV2018_II_I_P5,N,number theory
OKTV2020_II_III_P1,Y,inequalities
OKTV2015_II_II_P4,Y,number theory
OKTV2016_II_I_P4,Y,number theory
OKTV2016_III_III_P3,N,number theory
OKTV2020_III_I_P1,Y,number theory
OKTV2022_I_I_P1,Y,number theory
OKTV2023_II_I_P4,Y,number theory
OKTV2013_I_I_P1,Y,algebra
OKTV2013_I_I_P2,Y,number theory
OKTV2006_I_II_P5,Y,number theory
OKTV2010_I_I_P4,Y,number theory
OKTV2014_I_I_P3,Y,number theory
OKTV2011_III_I_P3,Y,number theory
OKTV2018_III_I_P2,Y,number theory
OKTV2007_II_I_P3,Y,number theory
OKTV2019_II_II_P3,Y,number theory
OKTV2016_II_II_P3,Y,number theory
OKTV2021_II_II_P1,Y,number theory
OKTV2022_II_II_P4,Y,number theory
Arany2018_B_III_II_P2,Y,functions
Arany2012_A_I_I_P3,Y,number theory
Arany2019_A_III_II_P2,Y,inequalities
Arany2015_B_III_II_P1,Y,number theory
Arany1998_B_I_I_P3,Y,algebra
Arany1998_B_I_I_P1,Y,number theory
Arany2021_A_II_II_P2,N,algebra
Arany2015_B_II_III_P1,Y,number theory
Arany2014_A_II_I_P3,Y,number theory
Arany2012_A_II_III_P3,Y,number theory
Arany2012_B_II_III_P3,N,"algebra, number theory"
Arany2011_A_II_II_P1,Y,"algebra, number theory"
Arany2011_A_I_I_P4,Y,number theory
Arany2011_B_I_I_P3,Y,number theory
Arany2013_A_II_II_P3,Y,number theory
Arany2013_B_II_III_P3,Y,number theory
Arany2013_A_I_II_P2,Y,number theory
Arany2014_B_I_II_P2,Y,inequalities
Arany2014_B_I_I_P2,Y,number theory
Arany2015_A_I_I_P5,Y,algebra
Arany2016_A_II_III_P3,Y,algebra
Arany2016_A_II_II_P1,Y,number theory
Arany2015_A_I_II_P1,Y,"inequalities, number theory"
Arany2018_A_III_I_P2,Y,number theory
Arany2020_A_I_I_P1,Y,number theory
Arany2020_B_I_II_P1,Y,number theory
Arany2021_A_III_I_P1,Y,algebra
Arany2021_B_I_III_P1,N,number theory
Arany2022_A_II_III_P1,N,number theory
Arany2022_A_III_II_P1,Y,number theory
Arany2022_A_III_I_P3,Y,number theory
Arany2022_B_I_I_P3,Y,number theory
Arany2023_A_III_I_P2,Y,number theory
Arany2023_A_I_II_P1,Y,"algebra, number theory"
Arany2023_A_II_I_P2,Y,number theory
Arany2023_A_I_I_P3,Y,algebra
Arany2023_A_I_I_P1,Y,number theory
Arany2023_B_III_I_P2,Y,"algebra, inequalities"